Card_Holder_Name,Card_Number,CVV,Expiry_Date,City
Teresia F Kunkel,3.74E+14,747,29-Jan,Her€t
Teresa X Mcbride,3.76E+14,6722,20-Sep,Ghormach
Mechelle M Batty,6.01E+15,832,13-Jun,Ghazni
Vanessa Huffman,5.11E+15,398,18-Oct,Gereshk
Corinna R Kopp,4.84E+15,135,21-Feb,Gardez
Peggy L Maddox,3.09E+13,422,18-Apr,Fayzabad
Natalia Catalan,3.69E+13,40,23-Mar,Farah
Willie D Hayes,3.54E+15,585,26-Jul,Kafir Qala
Nicholas L Hwang,3.01E+13,314,24-May,Charikar
Frances M Fitzpatrick,4.43E+15,722,22-Feb,Baraki Barak
Shawn A Rudnick,6.47E+15,975,14-Aug,B€my€n
Tyler I Brady,5.40E+15,143,20-Sep,Balkh
Aleen F Gower,5.24E+15,798,25-Jun,Baghl€n
Darlene R Abbott,6.01E+15,722,17-Oct,€Ûrt Khw€jah
Jackelyn M Cookson,6.01E+15,758,28-Jun,€Ûsm€r
Vernon V Ferguson,6.01E+15,372,19-Jul,Asad€b€d
Bambi Z Hartmann,3.54E+15,987,19-Apr,Andkhy
Charles Z Bryant,6.01E+15,446,23-Aug,B€z€rak
Reynaldo M Fricke,4.00E+15,176,20-May,Markaz-e Woluswal€Ç-ye €Ûch€Çn
Gregory Benson,5.23E+15,101,25-Aug,Saint John‰Ûªs
Lou Farnham,3.09E+13,133,13-Sep,The Valley
Gail A Hughes,3.10E+13,679,16-Sep,SarandÌÇ
Connie Bevan,5.42E+15,42,20-Nov,KukÌÇs
Manuel Lindsay,6.23E+15,714,30-May,KorÌ¤ÌÇ
Brian Kinsey,4.78E+15,567,19-Jun,GjirokastÌÇr
Eric D Powell,3.74E+14,1921,22-Mar,Elbasan
Leslie A Wesley,3.71E+14,5069,26-Sep,Burrel
Valerie T Vazquez,4.07E+15,563,17-Jan,VlorÌÇ
Dorsey Falk,3.41E+14,3051,Dec-33,Tirana
Andrew Q Ochoa,6.01E+15,76,27-Nov,ShkodÌÇr
Jestine Segura,4.47E+15,904,28-Oct,Patos Fshat
Mike C Curry,6.01E+15,943,18-Aug,LushnjÌÇ
Dominga L Bramblett,5.42E+15,217,19-Mar,LezhÌÇ
Floyd Black,5.27E+15,74,12-Sep,LaÌ¤
Bella G Kingston,5.13E+15,141,29-May,KuÌ¤ovÌÇ
Ellen X Cameron,5.38E+15,455,18-Sep,KrujÌÇ
Hank Hamilton,3.54E+15,313,27-Dec,KavajÌÇ
Phyllis L Silva,3.02E+13,705,Feb-36,Fier-ÌàifÌ¤i
Ingrid D Grenier,5.25E+15,407,20-Sep,Fier
Micheal W Sharpe,5.33E+15,932,19-Apr,DurrÌÇs
Deidre Y Holmberg,5.22E+15,266,18-Dec,Berat
Maurice S Aguirre,3.54E+15,997,23-Sep,Kapan
Deetta N Zink,6.01E+15,365,Apr-34,Goris
Leroy N Bates,4.30E+15,147,9-Jun,Hats‰Ûªavan
Lenard J Whittier,3.93E+13,25,25-Jul,Artashat
Clara N Summers,3.57E+15,719,May-36,Ararat
Demetrius R Mathews,5.40E+15,676,11-Feb,Yerevan
Zachary I Wiggins,5.43E+15,650,27-Sep,Ejmiatsin
Latrice Z Sternberg,4.38E+15,354,28-Dec,Step‰Ûªanavan
Kathy D Melendez,4.35E+15,826,16-Jul,Spitak
Arturo H Macomber,3.56E+15,600,21-Sep,Sevan
Dean Dyer,4.10E+15,231,9-Apr,Masis
Alan V Storey,6.01E+15,867,23-Sep,Vanadzor
Sheila I Schwartz,3.72E+14,4426,30-Jul,Gavarr
Louie I Alfonso,3.54E+15,566,19-Sep,Hrazdan
Jerry R Atkinson,4.96E+15,659,26-Sep,Armavir
Vikki S Reilly,3.58E+15,864,17-Sep,Gyumri
Derrick L Marsh,4.47E+15,220,23-Mar,Ashtarak
Kennith Q Soliz,5.45E+15,644,10-Feb,Abovyan
Yvonne Z Fisher,5.47E+15,851,23-May,Saurimo
Dorcas Fairchild,3.55E+15,96,27-Aug,Lucapa
Terry Albert,4.26E+15,957,26-Jun,Luau
Regena P Roche,3.54E+15,956,24-Jan,UÌ_ge
Douglas Dillon,3.58E+15,706,20-May,Soio
Jaye S Massengale,5.38E+15,398,20-Apr,N'zeto
Derek F Grimes,4.16E+15,259,14-Sep,N‰Ûªdalatando
Myron G Seaton,3.57E+15,836,17-Aug,Mbanza Congo
Ruth W Russo,5.50E+15,484,26-Jan,Malanje
Harry W Bonnell,6.01E+15,859,27-Oct,Luanda
Norma O Whitaker,6.52E+15,754,21-Jan,Caxito
Michelle Serra,5.15E+15,764,23-Dec,Cabinda
Doris Malone,5.20E+15,675,26-Mar,Sumbe
Bernice Blackstone,5.24E+15,397,20-Jan,Namibe
Shane C Douglas,3.72E+14,9592,19-Jul,Menongue
Rosario S Merida,3.56E+15,329,27-Apr,Luena
Derek U Harrison,3.89E+13,334,17-Jul,Lubango
Reagan D Smithers,3.43E+14,4965,Sep-31,Longonjo
Jane K Owens,4.59E+15,695,19-May,Lobito
Celeste B Rhoads,5.19E+15,606,18-Apr,Cuito
Patrick Silva,4.83E+15,142,29-Mar,Huambo
Jacki O Bard,4.05E+15,508,21-Jan,Catumbela
Edith F Hubbard,3.03E+13,255,Feb-31,Catabola
Valeri Nation,3.06E+13,369,30-Nov,Camacupa
Todd M Reynolds,4.71E+15,168,27-Aug,Caluquembe
Aisha Calzada,3.02E+13,52,27-Apr,CaÌÁla
Manuel W Wilkins,3.55E+15,450,30-Mar,Benguela
Lincoln T Auld,3.42E+14,5364,13-Dec,ZÌÁrate
Teresa Meyers,3.57E+15,829,10-Aug,Villa OrtÌ¼zar
Jospeh Boyett,3.94E+13,427,22-Jun,Villa Ocampo
Leo B Erickson,4.34E+15,470,26-Jul,Villa Lugano
Hayden O Roundtree,5.49E+15,576,16-Jan,Villaguay
Gary Suarez,3.58E+15,647,25-Nov,Villa Gesell
Clark Clack,4.34E+15,216,24-Jul,Tigre
Carrie V Lindsey,3.80E+14,1738,13-Sep,Tandil
Anette X Sells,5.19E+15,750,26-Dec,San Vicente
Justin Griffin,6.01E+15,488,23-May,Santo TomÌ©
Ann Wadley,3.55E+15,820,19-Apr,Santa Elena
Vanessa N Rutledge,6.01E+15,763,18-Nov,San Pedro
Johanne P Burse,6.01E+15,838,Apr-33,San Luis del Palmar
Shirley B Barton,5.37E+15,132,22-Apr,San Lorenzo
Natalie U Aiken,6.54E+15,396,13-Oct,San Javier
Eva Turner,3.54E+15,283,23-Sep,San Isidro
Wanetta L Liston,6.01E+15,353,19-Jun,Saladas
Charles F Valdez,4.32E+15,892,26-Mar,Retiro
Brant K Lafleur,5.38E+15,138,19-Aug,Resistencia
Jane P Brewer,3.54E+15,652,15-Sep,Reconquista
Desmond Hunter,4.63E+15,972,11-Nov,Quilmes
Lloyd X Ramsey,5.24E+15,623,12-Jul,Puerto Rico
Jude L Buckingham,5.49E+15,115,24-Apr,Puerto IguazÌ¼
Timothy R Kent,4.85E+15,861,14-May,Puerto Esperanza
Darrin Read,3.02E+13,69,25-Jun,Puerto Eldorado
Tracy G Brooks,3.58E+15,340,29-Dec,Posadas
Val L Curl,5.45E+15,367,15-May,Pontevedra
Marion V Charles,3.42E+14,6437,28-Jun,PiranÌ©
Criselda X Claar,3.00E+13,294,27-Dec,Paso de los Libres
Janet I Cruz,3.09E+13,245,18-Feb,OberÌÁ
Chantell N Diez,3.72E+14,9346,27-Oct,Necochea
Jeffrey R Ruiz,5.15E+15,181,Jul-36,MorÌ_n
Rolande A Ringer,5.22E+15,257,11-Apr,Monte Caseros
Floyd D Franklin,3.78E+14,9064,19-Apr,Montecarlo
Sydney X Raney,4.54E+15,3,30-Jul,Mercedes
Benjamin J Todd,4.93E+15,478,26-May,Mercedes
Drew Whitehouse,3.06E+13,10,29-Jul,Mar del Plata
Crystal P Duffy,4.19E+15,316,26-Jan,LujÌÁn
Mariana G Carrier,3.71E+14,3108,15-Feb,La Plata
Valerie Mccoy,5.18E+15,889,15-May,La Paz
Tandra Dantzler,4.70E+15,281,13-Apr,JardÌ_n AmÌ©rica
Regina P Tanner,3.54E+15,941,Jul-32,GualeguaychÌ¼
Robbie Alexander,3.04E+13,766,12-Dec,Gualeguay
Tracy E Mercer,3.09E+13,829,18-Jul,Goya
Sandy K Reynolds,6.51E+15,74,30-Apr,Gobernador Ingeniero ValentÌ_n Virasoro
Jim Gates,5.19E+15,118,18-Nov,General JosÌ© de San MartÌ_n
Sol H Stcyr,4.08E+15,590,16-May,GarupÌÁ
Vivian W Sosa,6.01E+15,634,18-Nov,Formosa
Keri M Lytle,3.53E+15,755,21-Oct,Fontana
Kristen Mendoza,3.53E+15,828,12-May,Federal
Lennie T Gatto,6.01E+15,901,30-Jun,Esquina
Anne Z Cabrera,3.01E+13,550,Jun-34,El Soberbio
Ha Lindner,6.01E+15,315,19-Jan,Dolores
Marilyn F Warner,4.51E+15,224,26-Dec,CuruzÌ¼ CuatiÌÁ
Sarita Lilly,3.01E+13,277,Aug-37,Corrientes
Monica F Hill,3.01E+13,91,18-Feb,Concordia
Rolanda O Mcculley,3.06E+13,561,23-Apr,ConcepciÌ_n del Uruguay
Amanda E Dixon,3.05E+13,910,13-Nov,Colegiales
Kathe Sterling,3.40E+14,1893,17-Oct,ChajarÌ_
Gregory Pearson,3.46E+14,7783,Nov-33,Campana
Joe Jepson,5.20E+15,687,17-Jan,Buenos Aires
Dan M Armstrong,4.78E+15,44,14-Mar,Barranqueras
Elsy M Meneses,5.45E+15,591,27-Jul,Azul
Emily B West,6.01E+15,34,23-Mar,Avellaneda
Elke T Lamm,5.36E+15,349,24-Apr,AristÌ_bulo del Valle
Randall Bullock,5.40E+15,985,16-May,Zapala
Marnie P Lejeune,3.09E+13,450,30-Nov,Yerba Buena
Benjamin Oneill,3.59E+15,806,23-Nov,Villa Regina
Gary G Eberle,3.57E+15,450,Sep-31,Villa Paula de Sarmiento
Loretta Keith,6.01E+15,537,13-Apr,Villa Nueva
Frankie Z Welton,3.55E+15,52,9-Aug,Villa MarÌ_a
Sue V Spence,3.71E+14,6536,Mar-32,Villa Dolores
Lizette Carreon,6.01E+15,711,24-Jul,Villa ConstituciÌ_n
Hector C Foreman,3.68E+13,679,21-Dec,Villa Carlos Paz
Pauletta J Newby,4.43E+15,645,17-Feb,Villa Ìngela
Michelle Gilmore,4.95E+15,304,25-Sep,Villa Allende
Tommie G Ware,6.01E+15,900,22-Dec,Viedma
Philip F Garcia,3.03E+13,279,24-Apr,Victoria
Jefferson P Sykes,3.56E+15,32,28-Nov,Vera
Leslie Rogers,4.39E+15,945,26-Mar,Venado Tuerto
Lawana Burch,3.00E+13,462,25-Aug,Veinticinco de Mayo
Bobby R Pearson,6.01E+15,424,30-Jul,Ushuaia
Doug J Salas,3.76E+14,2679,19-Jun,Unquillo
Pamela C Ewing,5.18E+15,987,17-Jan,Tres Isletas
Mel Hardin,5.42E+15,721,14-Nov,Tres Arroyos
Sara L Lopez,4.42E+15,374,27-Mar,Trelew
Milan B Bader,6.01E+15,100,Feb-30,Termas de RÌ_o Hondo
Audrey Knox,6.01E+15,728,20-Jun,Tartagal
Elizbeth Fifield,5.38E+15,107,29-Apr,TafÌ_ Viejo
Jonathan Daniel,6.01E+15,12,26-Dec,Sunchales
Serina H Futch,4.70E+15,831,13-Mar,Santo TomÌ©
Jeff Reese,3.72E+14,3622,27-Jul,Santiago del Estero
Willis H Dellinger,6.51E+15,805,15-Mar,Santa Rosa
Stacy S Albert,3.40E+14,2814,24-May,Santa LucÌ_a
Issac Q Musselman,5.16E+15,684,15-Nov,Santa Fe de la Vera Cruz
Emma C Mckinney,3.77E+14,9144,12-Nov,San Salvador de Jujuy
Minh Deane,3.01E+13,856,27-Aug,San RamÌ_n de la Nueva OrÌÁn
Dawn W George,3.66E+13,497,28-Feb,San Rafael
Tamra Solomon,6.01E+15,521,16-Mar,San Pedro
Christine B Huffman,6.55E+15,145,May-33,San NicolÌÁs de los Arroyos
Anneliese Plunkett,5.49E+15,300,29-Jul,San Miguel de TucumÌÁn
Cindy X Myers,3.43E+14,4081,20-Feb,San MartÌ_n de los Andes
Alonzo Weddle,3.55E+15,781,Jun-31,San MartÌ_n
Ruby Y Graham,3.75E+14,233,29-Nov,San Luis
Jerrold B Scaife,3.09E+13,223,30-Apr,San Justo
April P Carey,5.45E+15,237,20-Jun,San Juan
Kathey S Pinkston,3.79E+14,6909,29-Sep,San JosÌ© de JÌÁchal
Henry Y Sawyer,5.48E+15,284,24-Oct,San Jorge
Roseanne G Borchardt,3.78E+14,2342,24-Mar,San Francisco
Shane R Alford,3.41E+14,2415,29-Jan,San Fernando del Valle de Catamarca
Genie Backman,3.56E+15,32,22-Jul,San Antonio Oeste
Shannon G Beach,6.01E+15,816,24-Jun,Salta
Weston S Rey,4.90E+15,633,21-Jul,Rufino
Alvin Y Roberson,6.22E+15,341,Oct-34,Rosario
Richelle U Cookson,3.40E+14,3034,24-Apr,RÌ_o Tercero
Ryan H Hall,3.57E+15,49,28-Aug,RÌ_o Segundo
Oda H Rasmussen,6.01E+15,773,19-Jul,RÌ_o Gallegos
Francisco S Murray,6.01E+15,279,28-Oct,RÌ_o Cuarto
Willis O Ballenger,4.18E+15,212,15-Jan,RÌ_o Ceballos
Jennifer R Cruz,3.05E+13,945,18-Dec,Rawson
Francis Applewhite,4.34E+15,969,Mar-33,Rafaela
Norma V Palmer,6.01E+15,174,23-Mar,Quitilipi
Clemente M Donner,4.73E+15,579,31-May,Punta Alta
Florence L Howe,5.30E+15,984,Aug-34,Puerto Madryn
Loren E Overman,3.57E+15,598,14-Jul,Presidencia Roque SÌÁenz PeÌ±a
Vivian V Sears,5.24E+15,139,9-Feb,Pocito
Justin Fleenor,6.01E+15,812,25-Feb,Plottier
Albert Q Holcomb,3.01E+13,688,20-May,Pergamino
Clyde U Neel,3.57E+15,12,24-Oct,PÌ©rez
Miguel Potts,3.00E+13,653,19-May,ParanÌÁ
Palmer E Croft,4.08E+15,990,16-May,PalpalÌÁ
Marvin K Whitley,6.01E+15,506,16-Dec,OlavarrÌ_a
Van Q Valladares,5.49E+15,209,15-Apr,Nueve de Julio
William Maxwell,5.10E+15,77,26-Jan,NeuquÌ©n
Arline Monday,3.05E+13,327,10-Nov,Morteros
Betty M Franco,6.01E+15,563,27-Feb,Monteros
Emelina T Vogel,4.92E+15,345,28-Mar,Mendoza
Kenneth Allison,4.50E+15,339,28-Mar,Marcos JuÌÁrez
Jospeh D Lawhorn,3.59E+15,835,Jun-34,Machagai
Carl V Gilbert,3.48E+14,4567,Dec-37,Lincoln
Neida M Millsaps,3.74E+14,7355,19-Mar,Libertador General San MartÌ_n
Betty N Sandoval,5.50E+15,707,24-Aug,Las BreÌ±as
Alleen S Rusch,3.05E+13,884,26-Nov,La Rioja
Megan S Browning,6.60E+15,114,19-May,La Falda
Artie Papa,6.01E+15,351,9-Jan,La Calera
Cynthia K Osborn,4.34E+15,622,20-Dec,Laboulaye
Cody A Newby,3.55E+15,119,21-Jan,JunÌ_n
Don N White,4.96E+15,448,10-Jul,JoaquÌ_n V. GonzÌÁlez
Moshe Tisdale,3.05E+13,401,21-Feb,JesÌ¼s MarÌ_a
Judith Edwards,3.73E+14,7927,16-Feb,Granadero Baigorria
Sylvester T Styles,3.56E+15,538,23-Oct,Gobernador GÌÁlvez
Curtis B Stone,3.54E+15,838,29-May,General Villegas
Daniel Rosenfeld,3.53E+15,377,24-Jul,General Roca
Derrick N Tyson,3.53E+15,118,21-Aug,General Pinedo
Daisy Botello,3.74E+14,7440,25-Mar,General Pico
Rodney T Bass,3.72E+14,9965,24-May,General Enrique Mosconi
Dane G Cauthen,5.14E+15,408,18-Mar,GÌÁlvez
Jean R Whitfield,3.74E+14,5285,29-Nov,Firmat
Olive Endres,5.48E+15,669,27-Aug,FamaillÌÁ
Rose N Conner,5.34E+15,954,14-May,Esquel
Therese Clowers,6.01E+15,612,30-May,Esperanza
Yvonne T Scott,3.56E+15,583,25-Jan,EmbarcaciÌ_n
Floyd M Bannister,3.58E+15,590,25-Apr,Embalse
Beth Hines,3.54E+15,583,27-Dec,El BolsÌ_n
Berry C Mcclean,3.56E+15,326,25-Nov,Diamante
Lauren Harrison,4.43E+15,158,10-May,DeÌÁn Funes
Annalee U Dacosta,6.01E+15,968,19-Apr,Cutral-CÌ_
Lester York,5.12E+15,591,20-Sep,Cruz del Eje
Lyman B Radtke,3.48E+14,8333,17-Nov,Crespo
Howard S Sherman,5.15E+15,232,14-Dec,CosquÌ_n
Waneta Flake,4.71E+15,687,10-Mar,Coronel SuÌÁrez
Douglas O Pickett,3.76E+14,2228,15-Jun,Coronda
Ulysses Y Lafrance,5.29E+15,963,21-Jan,CÌ_rdoba
Dale Q Carver,6.48E+15,321,19-Jun,Comodoro Rivadavia
Bernadette Purifoy,4.22E+15,160,15-Mar,Cipolletti
Henry Dotson,3.75E+14,5144,28-Aug,Cinco Saltos
Tad S Boland,3.02E+13,936,16-Nov,Chivilcoy
Lorraine E Pitts,3.06E+13,988,25-Mar,Chimbas
Michael X Autry,4.49E+15,829,16-May,Chilecito
Jane L Burris,3.53E+15,54,Nov-35,Charata
Joshua F Hickok,5.45E+15,936,Aug-33,Chacabuco
Tammy Z Watson,6.50E+15,292,13-Aug,Centenario
Fabian T Scurry,3.05E+13,56,27-Sep,Caucete
Angela Kramer,4.46E+15,666,Jun-31,Catriel
Veta A Masters,4.16E+15,809,12-Dec,Castelli
Lloyd Brock,6.01E+15,179,13-Jan,Casilda
Selene B Stamm,4.76E+15,281,12-Jun,CarcaraÌ±ÌÁ
Amber T Cantu,3.55E+15,170,24-Feb,CapitÌÁn BermÌ¼dez
Preston Swisher,5.28E+15,410,22-Apr,CaÌ±ada de GÌ_mez
Peter U Farrell,3.72E+14,8925,25-Feb,Caleta Olivia
Alla H Latta,3.56E+15,895,24-Sep,Bell Ville
Wesley W Parrish,5.34E+15,773,22-Jul,Bella Vista
Olene S Calzada,6.01E+15,899,26-Jan,BahÌ_a Blanca
Dustin B Mccarty,3.59E+15,253,21-Mar,Arroyo Seco
Shayne Scrivner,3.45E+14,7772,23-Sep,Arroyito
Christopher Y Raymond,4.76E+15,270,17-Jun,AÌ±atuya
Fredricka Mancilla,5.14E+15,348,20-Aug,Alta Gracia
Rosa Y Zimmerman,4.18E+15,939,24-Oct,Allen
Alberta Eagan,6.01E+15,210,18-Dec,Alderetes
Darlene T Lang,3.09E+13,735,29-Apr,AlbardÌ_n
Gertrud Reagan,3.42E+14,8146,18-Nov,Aguilares
Teresa K Chambers,3.76E+14,5210,15-Nov,Villa Santa Rita
Randall Y Yeager,5.15E+15,976,24-Dec,Villa Mercedes
Vanessa Giles,3.02E+13,5,23-Jun,San Carlos de Bariloche
Lawanna F Werner,4.14E+15,225,15-Oct,AdroguÌ©
Marvin X Burks,6.01E+15,244,16-Dec,Pago Pago
Aldo S Deangelis,3.76E+14,4698,18-Sep,Wolfsberg
Jim F Bowman,3.76E+14,4162,Nov-32,Wiener Neustadt
Haywood Messina,3.56E+15,797,23-Jul,Vienna
Francis Bray,3.79E+14,4278,22-Apr,Wels
Gwyneth E Travers,3.41E+14,3717,25-Feb,Weinzierl bei Krems
Juanita I Christensen,5.21E+15,65,26-Dec,Villach
Jerome N Marti,3.75E+14,5836,19-Apr,Traun
Kimberly Emerson,6.52E+15,392,21-Dec,Traiskirchen
Deirdre I Harlow,3.01E+13,214,28-Feb,Ternitz
Elaine X Hubbard,3.57E+15,969,21-Dec,Steyr
Thanh B Daniel,6.01E+15,184,25-Dec,Spittal an der Drau
Eric Wiggins,3.76E+14,6530,16-Jul,Schwechat
Dino G Wan,3.03E+13,37,10-Jan,Sankt PÌ¦lten
Juan M Gordon,3.45E+14,9263,24-Nov,Salzburg
Myra E Rayner,3.01E+13,673,20-Oct,Saalfelden am Steinernen Meer
Matthew Pollard,3.09E+13,899,27-Apr,MÌ¦dling
Amiee K Weidman,5.22E+15,204,18-Oct,Lustenau
Frederick G Dawson,4.31E+15,210,Aug-33,Linz
Grant D Porch,3.10E+13,793,21-Apr,Leonding
Ruth Medina,6.01E+15,458,22-Oct,Leoben
Ian D Chaparro,6.45E+15,289,Aug-33,Kufstein
Fred K Riley,3.03E+13,462,10-Oct,Krems an der Donau
Lester L Royal,6.46E+15,156,26-May,Klosterneuburg
Vanessa S Waller,3.40E+14,8227,28-Jul,Klagenfurt am WÌ¦rthersee
Carolann A Skelton,3.78E+14,5976,31-May,Kapfenberg
Marion Riggs,5.39E+15,895,20-Jul,Innsbruck
Edison Q Wentz,3.04E+13,248,18-Sep,Hallein
Aaron Ewing,3.05E+13,685,Sep-33,Graz
Margarito Wharton,6.01E+15,715,21-May,Feldkirch
Phyllis H Ellis,6.01E+15,713,13-Feb,Dornbirn
Sonny Leech,4.90E+15,314,24-Aug,Bregenz
Derek F Pennington,6.01E+15,418,13-Sep,Braunau am Inn
Pasquale S Benitez,3.54E+15,364,9-Nov,Baden
Marvin K Steele,3.10E+13,629,16-Jan,Amstetten
Franklyn Wolford,3.58E+15,215,18-Aug,Ansfelden
Joshua U Rosario,3.49E+14,3545,27-Apr,Whyalla
Woodrow K Jara,3.04E+13,615,18-Apr,Rockingham
Shannon Osborne,3.54E+15,583,26-Nov,Prospect
Efrain E Breen,6.01E+15,664,Jan-33,Port Hedland
Erica Weiss,3.54E+15,832,17-May,Perth
Sandie P Forbes,4.73E+15,302,27-May,Murray Bridge
April I Larsen,4.99E+15,266,29-Jul,Mount Isa
Wilfredo G Rankin,3.55E+15,839,21-Feb,Morphett Vale
Jeff L Noble,3.57E+15,302,24-Feb,Mandurah
Lorenzo B Brunner,3.00E+13,833,16-Oct,Kwinana
Clarence X Reilly,3.79E+14,2704,17-Jan,Kalgoorlie
Harlan O Forrester,3.80E+13,515,25-Nov,Gosnells
Henry Weeks,3.42E+14,5095,24-Nov,Geraldton
Ashlea Y Barto,3.42E+14,7292,28-Mar,Gawler
Beatrice T Craig,5.45E+15,718,22-Jun,Fremantle
Wally B Mckeehan,5.33E+15,494,24-Nov,Darwin
Maria A Richards,3.53E+15,215,Oct-35,Busselton
Terence K Staples,5.15E+15,965,13-Sep,Bunbury
Michael I Nunez,4.65E+15,484,18-Feb,Armadale
Karyl P Reddick,3.46E+14,4271,27-May,Alice Springs
Dolores M Emerson,3.44E+14,8439,Apr-31,Albany
Louie Hedges,3.56E+15,569,27-Oct,Adelaide
Victoria Pruitt,3.57E+15,741,May-33,Woodridge
Frankie Minard,3.00E+13,769,17-Feb,Wodonga
Marjorie G Mcdowell,3.44E+14,8364,14-Aug,Werribee
Hobert X Samaniego,3.50E+14,170,20-Jun,Warrnambool
Robin Q Fisher,3.10E+13,464,28-Oct,Wantirna South
Jacqui B Gustafson,4.51E+15,894,23-Jul,Wangaratta
Bernice Sanchez,4.86E+15,13,22-Jan,Wagga Wagga
Federico Q Dark,4.55E+15,944,27-Jan,Traralgon
Brandon Crane,4.61E+15,888,29-Aug,Townsville
Floyd P Zamora,3.47E+14,8458,11-Sep,Toowoomba
Herbert B Harrison,6.47E+15,539,26-Mar,Thornbury
Evonne P Rinaldi,5.44E+15,651,18-Aug,Thomastown
Doris J Casey,4.90E+15,279,28-Dec,Tarneit
Jesenia Mier,4.77E+15,759,17-Jan,Taree
Tommy V Mercado,3.56E+15,120,16-Jul,Tamworth
Karine Q Valley,4.14E+15,388,15-Oct,Sydney
Samuel Morton,3.01E+13,52,30-Nov,Surfers Paradise
Jeannetta E Hollinger,3.09E+13,346,11-Feb,Sunnybank
Glenn A Bradford,3.73E+14,1208,Aug-35,Sunbury
Duncan G Frazee,6.01E+15,132,25-Aug,Port Stephens
Louis G Williams,5.20E+15,121,27-Oct,Springvale
Ashley Laughlin,3.56E+15,206,22-Aug,Southport
Janet F England,3.73E+14,2150,19-May,South Grafton
Kenyatta K Spry,6.01E+15,526,17-Mar,Shepparton
Carrie P Dorsey,3.58E+15,704,10-Jul,Seaford
Jules E Whitcomb,6.23E+15,858,24-Mar,Saint Kilda
Scott K Dickerson,5.37E+15,486,24-Jan,Saint Albans
Emmitt Alston,3.56E+15,421,30-Dec,Rowville
Jim Q Larsen,5.26E+15,602,15-Oct,Rockhampton
Herbert Gomez,3.55E+15,10,18-Sep,Richmond
Ricky W Mcfarland,6.01E+15,570,25-May,Reservoir
Christa X Bushnell,4.67E+15,147,19-Jul,Queanbeyan
Norma H Parsons,3.41E+14,2563,14-Apr,Quakers Hill
Tanisha F Woolery,3.44E+14,1052,Aug-34,Preston
Justin Z Ayers,3.56E+15,817,23-Jul,Port Macquarie
Belen Truax,3.71E+14,5770,14-Nov,Point Cook
Sue D Horn,3.45E+14,4903,21-Aug,Pakenham South
Marleen B Dorris,5.27E+15,751,17-Aug,Orange
Howard Bailey,3.44E+14,5171,22-Jul,Nowra
